Time_step: 509, MeanReward[31]: -2.69
Time_step: 1006, MeanReward[27]: -0.66
Time_step: 1503, MeanReward[26]: 0.71
Time_step: 2004, MeanReward[23]: -0.86
Time_step: 2507, MeanReward[25]: 3.12
Time_step: 3009, MeanReward[25]: 2.86
Time_step: 3503, MeanReward[23]: 3.21
Time_step: 4003, MeanReward[24]: 2.53
Time_step: 4506, MeanReward[19]: 5.11
Time_step: 5037, MeanReward[19]: 8.36
Time_step: 5524, MeanReward[14]: 11.76
Time_step: 6005, MeanReward[20]: 5.87
Time_step: 6535, MeanReward[15]: 13.85
Time_step: 7047, MeanReward[17]: 8.24
Time_step: 7514, MeanReward[16]: 12.07
Time_step: 8016, MeanReward[15]: 13.51
Time_step: 8501, MeanReward[12]: 19.21
Time_step: 9061, MeanReward[8]: 22.45
Time_step: 9563, MeanReward[13]: 15.54
Time_step: 10024, MeanReward[12]: 10.00
Time_step: 10545, MeanReward[13]: 17.96
Time_step: 11027, MeanReward[6]: 31.88
Time_step: 11555, MeanReward[7]: 41.64
Time_step: 12118, MeanReward[9]: 28.41
Time_step: 12578, MeanReward[6]: 16.00
Time_step: 13122, MeanReward[5]: 71.72
Time_step: 13520, MeanReward[5]: 36.01
Time_step: 14019, MeanReward[7]: 58.67
Time_step: 14519, MeanReward[7]: 41.36
Time_step: 15013, MeanReward[4]: 69.94
Time_step: 15639, MeanReward[6]: 79.03
Time_step: 16207, MeanReward[4]: 86.80
Time_step: 16608, MeanReward[2]: 302.82
Time_step: 17062, MeanReward[3]: 212.45
Time_step: 17538, MeanReward[2]: 211.39
Time_step: 18140, MeanReward[4]: 126.91
Time_step: 18584, MeanReward[3]: 118.24
Time_step: 19014, MeanReward[2]: 293.01
Time_step: 19589, MeanReward[3]: 176.68
Time_step: 20008, MeanReward[3]: 113.38
Time_step: 20529, MeanReward[2]: 261.33
Time_step: 21308, MeanReward[4]: 170.89
Time_step: 21559, MeanReward[2]: 42.35
Time_step: 22123, MeanReward[3]: 128.83
Time_step: 22657, MeanReward[3]: 297.67
Time_step: 23051, MeanReward[2]: 76.97
Time_step: 23627, MeanReward[3]: 156.93
Time_step: 24191, MeanReward[2]: 260.20
Time_step: 24882, MeanReward[2]: 195.02
Time_step: 25100, MeanReward[2]: 53.29
Time_step: 25636, MeanReward[3]: 49.04
Time_step: 26013, MeanReward[2]: 294.85
Time_step: 26651, MeanReward[2]: 441.86
Time_step: 27088, MeanReward[2]: 324.83
Time_step: 27536, MeanReward[2]: 339.91
Time_step: 28121, MeanReward[3]: 211.05
Time_step: 28544, MeanReward[2]: 231.03
Time_step: 29071, MeanReward[2]: 227.15
Time_step: 29667, MeanReward[3]: 244.18
Time_step: 30202, MeanReward[2]: 255.59
Time_step: 30604, MeanReward[2]: 314.24
Time_step: 31358, MeanReward[3]: 386.12
Time_step: 31647, MeanReward[1]: 401.58
Time_step: 32120, MeanReward[3]: 174.36
Time_step: 32793, MeanReward[3]: 156.63
Time_step: 33135, MeanReward[2]: 155.24
Time_step: 33737, MeanReward[2]: 152.14
Time_step: 34038, MeanReward[1]: 396.41
Time_step: 34568, MeanReward[2]: 374.46
Time_step: 35171, MeanReward[3]: 159.71
Time_step: 35723, MeanReward[3]: 208.25
Time_step: 36347, MeanReward[2]: 444.15
Time_step: 36669, MeanReward[1]: 426.30
Time_step: 37050, MeanReward[2]: 313.99
